species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Acrotome angustifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU138222;EU138374
Acrotome fleckii;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU138223;EU138375
Acrotome hispida;NA;NA;HQ911530;NA;NA;NA;NA;NA;NA;EU138224;EU138376
Acrotome inflata;NA;NA;HQ911533;NA;NA;NA;NA;NA;NA;EU138225;EU138377
Acrotome pallescens;NA;NA;HQ911531;NA;NA;NA;NA;NA;NA;EU138226;EU138379
Adenocalymma acutissimum;MG831840;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma allamandiflorum;MG008307;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma apetiolatum;NA;NA;NA;MG831752;NA;NA;NA;NA;MG831792;NA;NA
Adenocalymma apparicianum;NA;NA;NA;MG831753;NA;NA;NA;NA;MG831793;NA;NA
Adenocalymma apurense;NA;NA;NA;MG831754;NA;NA;NA;NA;MG831795;NA;NA
Adenocalymma aurantiacum;MG008308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma biternatum;MG008309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma bracteatum;MG008310;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma bracteolatum;NA;NA;NA;DQ222527;NA;NA;NA;NA;MG831796;NA;NA
Adenocalymma bracteosum;NA;NA;NA;MG831757;NA;NA;NA;NA;MG831797;NA;NA
Adenocalymma calcareum;NA;NA;NA;MG831758;NA;NA;NA;NA;MG831798;NA;NA
Adenocalymma cauliflorum;NA;NA;NA;MG831760;NA;NA;NA;NA;MG831800;NA;NA
Adenocalymma chocoense;NA;NA;NA;MG831761;NA;NA;NA;NA;MG831801;NA;NA
Adenocalymma cidii;NA;NA;NA;MG831762;NA;NA;NA;NA;MG831802;NA;NA
Adenocalymma cladotrichum;NA;NA;NA;MG831763;NA;NA;NA;NA;MG831803;NA;NA
Adenocalymma contractum;NA;NA;NA;MG831764;NA;NA;NA;NA;MG831804;NA;NA
Adenocalymma coriaceum;NA;NA;NA;MG831765;NA;NA;NA;NA;MG831805;NA;NA
Adenocalymma cristicalyx;MG008311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma cymbalum;NA;NA;NA;DQ222528;NA;NA;NA;NA;MG831806;NA;FJ870010
Adenocalymma divaricatum;MG831851;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma flaviflorum;NA;NA;NA;MG831767;NA;NA;NA;NA;MG831808;NA;NA
Adenocalymma hirtum;NA;NA;NA;MG831768;NA;NA;NA;NA;MG831810;NA;NA
Adenocalymma hypostictum;NA;NA;NA;MG831769;NA;NA;NA;NA;MG831811;NA;NA
Adenocalymma impressum;NA;NA;NA;DQ222529;NA;NA;NA;NA;NA;NA;NA
Adenocalymma lineare;NA;NA;NA;MG831770;NA;NA;NA;NA;MG831812;NA;NA
Adenocalymma longilineum;NA;NA;NA;MG831771;NA;NA;NA;NA;MG831813;NA;NA
Adenocalymma magnificum;NA;NA;NA;MG831772;NA;NA;NA;NA;MG831814;NA;NA
Adenocalymma marginatum;MG831861;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma moringifolium;NA;NA;NA;NA;NA;NA;NA;NA;MG831818;NA;FJ870011
Adenocalymma nervosum;MG008312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma nodosum;MG831862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma patulum;NA;NA;NA;MG831881;NA;NA;NA;NA;MG831819;NA;NA
Adenocalymma pedunculatum;MG008313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma peregrinum;MG008314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma pubescens;NA;NA;NA;MG831777;NA;NA;NA;NA;MG831822;NA;NA
Adenocalymma racemosum;NA;NA;NA;MG831778;NA;NA;NA;NA;MG831823;NA;NA
Adenocalymma salmoneum;NA;NA;MG749191;MG749407;MG750559;NA;NA;NA;MG831824;NA;NA
Adenocalymma saulense;NA;NA;NA;MG831780;NA;NA;NA;NA;MG831825;NA;NA
Adenocalymma scabriusculum;NA;NA;NA;MG831781;NA;NA;NA;NA;MG831826;NA;NA
Adenocalymma sessile;NA;NA;NA;MG831782;NA;NA;NA;NA;MG831829;NA;NA
Adenocalymma subincanum;NA;NA;NA;DQ222531;NA;NA;NA;NA;NA;NA;NA
Adenocalymma subspicatum;MG008315;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma tanaeciicarpum;NA;NA;NA;MG831784;NA;NA;NA;NA;MG831831;NA;NA
Adenocalymma trichocladum;MG831879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma trifoliatum;MG831869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenocalymma validum;NA;NA;NA;MG831785;NA;NA;NA;NA;MG831833;NA;NA
Adenocalymma velutinum;NA;NA;NA;MG831786;NA;NA;NA;NA;MG831835;NA;NA
Adenosma glutinosum;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adenosma indianum;NA;NA;NA;NA;JQ933207;NA;NA;NA;NA;NA;NA
Aegiphila alba;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952070
Aegiphila anomala;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952071
Aegiphila brachiata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952075
Aegiphila elata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952072
Aegiphila martinicensis;NA;NA;NA;NA;KJ082109;NA;NA;NA;NA;NA;FJ952073
Aegiphila multiflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952069
Aeollanthus buchnerianus;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ505327;AJ505434
Aeollanthus densiflorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ505328;AJ505435
Aeollanthus rehmannii;NA;NA;NA;NA;NA;NA;NA;NA;NA;MH630063;MH612625
Aeschynanthus acuminatus;NA;NA;NA;NA;KP094580;NA;NA;NA;NA;NA;KM232640
Aeschynanthus bracteatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ501501
Aeschynanthus buxifolius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;KM232642
Aeschynanthus lancilimbus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ501499
Aeschynanthus longicalyx;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HQ632895
Aeschynanthus longiflorus;NA;NA;NA;NA;NA;AJ490920;NA;NA;NA;NA;AJ492307
Aeschynanthus micranthus;NA;NA;KJ137885;NA;NA;FJ501396;NA;NA;NA;NA;FJ501500
Aeschynanthus moningeriae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MF315108
Aeschynanthus roseoflorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HQ632896
Aeschynanthus superbus;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agalinis acuta;NA;EU827814;GU943656;AY563930;AY563943;NA;NA;NA;NA;NA;EU828135
Agalinis aphylla;NA;EU827819;AY563911;AY563931;AY563939;NA;NA;NA;NA;NA;EU828137
Agalinis aspera;NA;MG219788;MK509377;NA;MG222029;NA;NA;NA;NA;NA;NA
Agalinis auriculata;NA;EU827821;AY563917;NA;AY563938;NA;NA;NA;NA;NA;EU828140
Agalinis calycina;NA;NA;GU943670;NA;EU828219;NA;NA;NA;NA;NA;NA
Agalinis divaricata;NA;EU827828;GU943676;NA;AY563946;NA;NA;NA;NA;NA;EU828147
Agalinis edwardsiana;NA;EU827829;GU943677;NA;EU828221;NA;NA;NA;NA;NA;EU828149
Agalinis fasciculata;NA;EU827830;AY563919;NA;AY563944;NA;NA;NA;NA;NA;EU828150
Agalinis filicaulis;NA;EU827833;AY563907;NA;AY563937;NA;NA;NA;NA;NA;EU828153
Agalinis gattingeri;NA;EU827823;GU943685;NA;EU828224;NA;NA;NA;NA;NA;EU828156
Agalinis harperi;NA;EU827838;GU943686;NA;EU828226;NA;NA;NA;NA;NA;EU828158
Agalinis heterophylla;NA;EU827839;GU943688;AY563928;AY563934;NA;NA;NA;NA;NA;EU828161
Agalinis homalantha;NA;EU827840;GU943690;NA;EU828228;NA;NA;NA;NA;NA;EU828162
Agalinis laxa;NA;EU827842;GU943692;NA;EU828229;NA;NA;NA;NA;NA;EU828164
Agalinis linifolia;NA;EU827844;AY563923;AY563929;AY563949;NA;NA;NA;NA;NA;EU828166
Agalinis maritima;NA;EU827824;GU943696;NA;GU943612;NA;NA;NA;NA;NA;EU828143
Agalinis navasotensis;NA;EU827848;GU943699;NA;EU828232;NA;NA;NA;NA;NA;EU828170
Agalinis obtusifolia;NA;EU827851;GU943702;AY563932;AY563950;NA;NA;NA;NA;NA;EU828175
Agalinis oligophylla;NA;NA;GU943711;NA;EU828235;NA;NA;NA;NA;NA;EU828178
Agalinis paupercula;NA;EU827853;GU943713;NA;GU943627;NA;NA;NA;NA;NA;EU828181
Agalinis plukenetii;NA;EU827856;AY563915;NA;AY563933;NA;NA;NA;NA;NA;EU828183
Agalinis pulchella;NA;EU827857;AY563912;NA;AY563935;NA;NA;NA;NA;NA;EU828185
Agalinis purpurea;NA;EU827858;JX091307;NA;EU828238;NA;NA;NA;NA;NA;EU828189
Agalinis setacea;NA;EU827862;AY563914;NA;AY563941;NA;NA;NA;NA;NA;EU828192
Agalinis skinneriana;NA;EU827864;GU943724;NA;EU828239;NA;NA;NA;NA;NA;EU828193
Agalinis strictifolia;NA;EU827867;AY563913;NA;AY563945;NA;NA;NA;NA;NA;EU828144
Agalinis tenuifolia;NA;EU827875;AY563916;AY563927;AY563936;NA;NA;NA;NA;NA;EU828204
Agalinis viridis;NA;EU827876;GU943740;NA;EU828242;NA;NA;NA;NA;NA;EU828206
Agalinis wrightii;NA;EU827880;AY563922;AY563924;AY563942;NA;NA;NA;NA;NA;EU828209
Agalmyla biflora;NA;FJ501361;NA;NA;NA;FJ501421;NA;NA;NA;NA;FJ501541
Agalmyla bilirana;NA;MF446046;NA;NA;NA;NA;NA;NA;MF509446;NA;HQ632891
Agalmyla clarkei;NA;FJ501360;NA;NA;NA;NA;NA;NA;NA;NA;FJ501540
Agalmyla glabra;NA;HQ632989;NA;NA;NA;NA;NA;NA;MF509447;NA;HQ632892
Agalmyla parasitica;NA;NA;NA;U62171;AF170223;FJ501420;NA;NA;NA;NA;FJ501539
Agalmyla paucipilosa;NA;HQ632990;NA;NA;NA;NA;NA;NA;NA;NA;HQ632893
Agalmyla sojoliana;NA;HQ632991;NA;NA;NA;NA;NA;NA;NA;NA;HQ632894
Agastache foeniculum;NA;AY506660;NA;NA;MF349615;NA;NA;NA;NA;NA;GU381480
Agastache nepetoides;NA;GQ456135;MK509382;NA;MG222145;NA;NA;NA;NA;NA;NA
Agastache pallida;NA;JQ669075;NA;NA;NA;NA;NA;NA;JQ669274;NA;JF301357
Agastache rugosa;MT980793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agastache scrophulariifolia;NA;GQ456138;MK509383;NA;MK525134;NA;NA;NA;NA;NA;NA
Agastache urticifolia;NA;DQ667247;NA;NA;MF963167;NA;NA;NA;NA;NA;AY570452
Ajuga chamaecistus;NA;NA;KP993197;NA;NA;NA;NA;NA;NA;NA;NA
Ajuga chamaepitys;NA;NA;HQ902712;NA;HQ902771;NA;NA;NA;NA;NA;FJ952079
Ajuga ciliata;NA;MG730526;AF477756;NA;HM590070;NA;NA;NA;NA;NA;NA
Ajuga decumbens;NA;AB668974;NA;JQ322521;JQ322527;NA;NA;NA;NA;MF801811;EF153683
Ajuga genevensis;NA;NA;NA;NA;MG222414;NA;NA;NA;NA;NA;KY697455
Ajuga integrifolia;NA;NA;MF694823;NA;KP172044;NA;NA;NA;NA;NA;NA
Ajuga iva;NA;NA;KX758448;NA;KX709609;NA;NA;NA;NA;NA;NA
Ajuga lobata;NA;NA;MF801701;NA;MF801756;NA;NA;NA;NA;MF801812;MF801906
Ajuga lupulina;NA;NA;MF801702;NA;HM590058;NA;NA;NA;NA;MF801813;MF801907
Ajuga multiflora;NA;HQ228235;NA;NA;NA;NA;NA;NA;NA;NA;EF153680
Ajuga orientalis;NA;NA;HQ902729;NA;HQ902758;NA;NA;NA;NA;NA;NA
Ajuga ovalifolia;NA;NA;KT280175;NA;KT280068;NA;NA;NA;NA;NA;NA
Ajuga reptans;KF709391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alectra aurantiaca;NA;EU253623;NA;NA;NA;NA;NA;EU253648;NA;NA;NA
Alectra capensis;NA;EU253613;MG546863;NA;MG546904;NA;NA;EU253645;NA;MG546944;MG547136
Alectra fruticosa;NA;EU253625;NA;NA;NA;NA;NA;EU253657;NA;NA;NA
Alectra humbertii;NA;EU253624;NA;NA;NA;NA;NA;EU253656;NA;NA;NA
Alectra orobanchoides;NA;EU253620;AF489960;NA;AF026819;NA;NA;EU253652;NA;NA;NA
Alectra rigida;NA;EU253621;NA;NA;NA;NA;NA;EU253653;NA;NA;NA
Alectra sessiliflora;NA;FJ790060;AF051977;NA;DQ017785;NA;NA;EU253646;NA;NA;NA
Alectra vogelii;NA;EU253622;NA;NA;NA;NA;NA;EU253654;NA;NA;NA
Allocheilos guangxiensis;NA;NA;NA;NA;KX527337;NA;NA;NA;NA;NA;HQ632897
Alloplectus hispidus;NA;DQ211111;NA;NA;NA;NA;NA;NA;JQ953960;KF005921;JQ954233
Alloplectus peruvianus;NA;KF005747;NA;NA;NA;NA;NA;NA;JQ953980;KF005945;JQ954243
Allostigma guangxiense;NA;HQ632977;NA;NA;KX527338;NA;NA;NA;NA;NA;HQ632880
Alonsoa auriculata;NA;NA;NA;AJ617587;NA;NA;NA;NA;NA;NA;NA
Alonsoa meridionalis;NA;DQ222398;HQ384534;AJ617612;NA;NA;NA;NA;NA;NA;HQ412948
Aloysia axillaris;NA;NA;NA;NA;NA;NA;NA;NA;KF688787;NA;NA
Aloysia barbata;NA;NA;NA;NA;NA;NA;NA;NA;JX966847;NA;NA
Aloysia castellanosii;NA;NA;NA;NA;NA;NA;NA;NA;KF688789;NA;NA
Aloysia catamarcensis;NA;NA;NA;NA;NA;NA;NA;NA;KF688790;NA;NA
Aloysia chamaedryfolia;NA;NA;NA;HM216684;NA;NA;NA;NA;KF688792;NA;HM216588
Aloysia chiapensis;NA;NA;NA;NA;NA;NA;NA;NA;KF688793;NA;NA
Aloysia citrodora;NC_034695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aloysia crenata;NA;NA;NA;HM216687;NA;NA;NA;NA;KF688794;NA;HM216591
Aloysia dusenii;NA;NA;NA;NA;NA;NA;NA;NA;KF688796;NA;NA
Aloysia fiebrigii;NA;NA;NA;NA;NA;NA;NA;NA;JX966849;NA;NA
Aloysia gratissima;NA;DQ463782;KY584299;AF130154;KY584329;NA;NA;NA;KF688799;JN686510;HM216592
Aloysia hatschbachii;NA;NA;NA;NA;NA;NA;NA;NA;KF688802;NA;NA
Aloysia looseri;NA;NA;NA;NA;NA;NA;NA;NA;KF688804;NA;NA
Aloysia macrostachya;NA;AY928530;NA;NA;NA;NA;NA;NA;JX966851;NA;NA
Aloysia oblanceolata;NA;NA;NA;NA;NA;NA;NA;NA;KF688801;NA;NA
Aloysia polygalifolia;NA;NA;NA;NA;NA;NA;NA;NA;KF688808;NA;NA
Aloysia polystachya;NA;NA;NA;NA;NA;NA;NA;NA;KF688809;NA;NA
Aloysia pulchra;NA;NA;NA;HM216688;NA;NA;NA;NA;KF688800;NA;HM216593
Aloysia scorodonioides;NA;NA;NA;NA;NA;NA;NA;NA;KF688811;NA;NA
Aloysia sonorensis;NA;NA;NA;NA;NA;NA;NA;NA;KF688814;NA;NA
Aloysia virgata;NA;FJ867398;MF350169;HM216689;MG718403;NA;NA;NA;JX966852;NA;EF571570
Aloysia wrightii;NA;MF964101;MF963697;HM216690;MF963353;NA;NA;NA;KF688818;NA;HM216594
Alvesia clerodendroides;NA;NA;NA;NA;NA;NA;NA;NA;NA;MH630096;MH612626
Alvesia rosmarinifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ505329;AJ505436
Amalophyllon divaricatum;NA;KY858252;JX196056;NA;NA;KU991206;NA;KU991246;NA;JX195882;JX195796
Amasonia campestris;NA;MF785308;NA;NA;MF786220;NA;NA;NA;NA;NA;NA
Amethystea caerulea;NA;EF508062;MF801703;AY115882;MF801757;NA;NA;NA;NA;MF801814;MF801908
Amphilophium arenarium;NA;NA;MG749158;MG749374;MG750526;NA;NA;NA;NA;NA;NA
Amphilophium aschersonii;NA;NA;MG749159;MG749375;MG750527;NA;NA;NA;NA;NA;NA
Amphilophium bauhinioides;NA;NA;MG749160;MG749376;MG750528;NA;NA;NA;KC914599;NA;FJ870012
Amphilophium blanchetii;NA;NA;MG749161;MG749377;MG750529;NA;NA;NA;NA;NA;NA
Amphilophium bracteatum;NA;NA;MG749162;MG749378;MG750530;NA;NA;NA;NA;NA;NA
Amphilophium buccinatorium;NA;NA;MG749163;MG749379;MG750531;NA;NA;NA;NA;NA;NA
Amphilophium carolinae;MK163625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium chocoense;MK415793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium cremersii;NA;NA;MG749166;MG749382;MG750534;NA;NA;NA;NA;NA;NA
Amphilophium crucigerum;NA;NA;MG749167;MG749383;MG750535;NA;NA;NA;NA;NA;NA
Amphilophium cuneifolium;MK415794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium dasytrichum;NA;NA;MG749169;MG749385;MG750537;NA;NA;NA;NA;NA;NA
Amphilophium dolichoides;MK163624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium dusenianum;MK415795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium ecuadorense;MK415796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium elongatum;NA;NA;MG749173;MG749389;MG750541;NA;NA;NA;NA;NA;NA
Amphilophium frutescens;NA;NA;MG749174;MG749390;MG750542;NA;NA;NA;NA;NA;NA
Amphilophium glaziovii;NA;NA;MG749175;MG749391;MG750543;NA;NA;NA;NA;NA;NA
Amphilophium gnaphalanthum;MK135829;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium granulosum;NA;NA;MG749177;MG749393;MG750545;NA;NA;NA;NA;NA;NA
Amphilophium lactiflorum;MK163623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium laxiflorum;NA;NA;MG749179;MG749395;MG750547;NA;NA;NA;NA;NA;NA
Amphilophium magnoliifolium;NA;MF785365;MG749180;MG749396;MG750548;NA;NA;NA;NA;NA;NA
Amphilophium nunezii;NA;NA;MG749181;MG749397;MG750549;NA;NA;NA;NA;NA;NA
Amphilophium paniculatum;MK415797;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium pannosum;NA;NA;MG749184;MG749400;MG750552;NA;NA;NA;NA;NA;NA
Amphilophium parkeri;NA;NA;MG749185;MG749401;MG750553;NA;NA;NA;NA;NA;NA
Amphilophium perbracteatum;NA;NA;MG749186;MG749402;MG750554;NA;NA;NA;NA;NA;NA
Amphilophium pilosum;MK415798;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphilophium rodriguesii;NA;NA;MG749188;MG749404;MG750556;NA;NA;NA;NA;NA;NA
Amphilophium sandwithii;NA;NA;MG749189;MG749405;MG750557;NA;NA;NA;NA;NA;NA
Amphilophium steyermarkii;MK163626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphitecna apiculata;NA;NA;NA;AY500456;NA;NA;NA;NA;NA;NA;NA
Amphitecna gentryi;NA;NA;NA;EF104996;NA;NA;NA;NA;NA;NA;EF105054
Amphitecna latifolia;NA;NA;JQ586979;EF104997;NA;NA;NA;NA;NA;NA;NA
Amphitecna montana;NA;NA;NA;FJ887850;NA;NA;NA;NA;NA;NA;FJ870014
Amphitecna tuxtlensis;NA;NA;NA;EF104998;NA;NA;NA;NA;NA;NA;EF105055
Anarrhinum bellidifolium;NA;AY731263;NA;JN848478;NA;NA;NA;NA;KP851136;NA;NA
Anarrhinum corsicum;NA;NA;NA;AJ245815;NA;NA;NA;NA;NA;NA;NA
Anarrhinum duriminium;NA;MK095631;NA;NA;NA;NA;NA;NA;MK095685;NA;NA
Anarrhinum forsskaolii;NA;MK095632;NA;NA;NA;NA;NA;NA;MK095686;NA;NA
Anarrhinum pedatum;NA;MK095633;NA;NA;NA;NA;NA;NA;MK095689;NA;NA
Anastrabe integerrima;NA;AJ616314;FN773529;NA;KF147454;NA;NA;NA;NA;AJ609216;FN794042
Ancistranthus harpochiloides;NA;MF768396;NA;NA;NA;NA;NA;NA;NA;MF678397;MF768343
Ancylostemon concavus;NA;KM063170;NA;NA;NA;NA;NA;NA;NA;NA;KM062930
Ancylostemon hekouensis;NA;KM063174;NA;NA;NA;NA;NA;NA;NA;NA;KM062934
Ancylostemon humilis;NA;NA;NA;NA;KX527341;NA;NA;NA;NA;NA;NA
Ancylostemon saxatilis;NA;KM063172;NA;NA;KX527340;NA;NA;NA;NA;NA;KM062932
Andrographis alata;NA;NA;KP455307;NA;KP455301;NA;NA;NA;NA;NA;NA
